h h1nat hybridstab
4.000000000000000222e-01 1.183614286988426412e-01 3.608744836691238356e-02
2.999999999999999889e-01 2.714509139516113265e-02 1.836854409673607802e-02
1.999999999999999833e-01 7.149966034066294711e-03 1.715513692271927390e-03
1.000000000000000056e-01 2.916530126931672715e-03 1.501351967933625285e-04
9.700000000000000289e-02 6.145579821714255205e-04 1.497407911081232780e-04
9.400000000000000022e-02 6.359266867780278762e-04 1.161264444337704719e-04
9.099999999999999756e-02 2.065939077681519867e-02 1.022421387895447453e-04
8.800000000000000877e-02 2.757233119189893516e-04 9.404765786688151080e-05
8.500000000000000611e-02 5.843822518363773165e-04 1.233629224095718628e-04
8.200000000000000344e-02 5.584804385381588908e-04 9.168651175975419179e-05
7.900000000000000078e-02 7.637870459549430139e-04 5.899405645643053189e-05
7.599999999999999811e-02 1.570379405318578182e-03 5.253170656843473099e-05
7.300000000000000933e-02 4.974657096012640280e-04 7.458759503974007898e-05
7.000000000000000666e-02 1.834999085768500673e-04 5.201875010964602364e-05
6.700000000000000400e-02 5.202919907072057083e-04 3.445862708186428719e-05
6.400000000000000133e-02 2.623216984800633231e-04 4.130526882196573042e-05
6.099999999999999867e-02 1.106083578993405576e-04 2.526648879999143424e-05
5.799999999999999600e-02 1.085728528979577342e-04 2.644968142221832099e-05
5.500000000000000028e-02 1.873010991736140515e-04 2.125416606565771915e-05
5.199999999999999761e-02 1.090687484264291280e-04 1.448433705101339350e-05
4.899999999999999495e-02 4.792182188757249632e-05 1.188772625672313074e-05
4.599999999999999922e-02 7.256130373119548021e-05 9.265363559526940783e-06
4.299999999999999656e-02 4.778467018607242484e-05 7.478457295709055773e-06
3.999999999999999389e-02 6.311954927386927063e-05 6.049559730373316108e-06
3.699999999999999123e-02 7.017101290639920531e-05 4.641860104582579616e-06
3.399999999999998856e-02 1.348087333882391363e-05 4.802729319880435623e-06
3.099999999999999978e-02 1.606858311939749737e-05 2.899812104268338800e-06
2.799999999999999711e-02 2.193690089077999329e-05 1.853999060703592718e-06
