h h1nat hybridstab
2.999999999999999889e-01 3.673660845356737092e-01 3.936082210173487139e-01
1.999999999999999833e-01 3.053164634816579182e-01 3.968006377720288413e-01
1.000000000000000056e-01 9.905684524146429748e-01 2.704695223700154250e-01
9.700000000000000289e-02 3.436800124171869864e-01 2.872281706118298694e-01
9.400000000000000022e-02 6.892249580483871263e-01 2.150260824961339468e-01
9.099999999999999756e-02 9.619276557167938391e-01 2.581769771567320459e-01
8.800000000000000877e-02 2.894012956290096805e-01 2.943535063063896229e-01
8.500000000000000611e-02 4.907392304947120198e-01 2.076866422321533290e-01
8.200000000000000344e-02 1.482280583303637878e-01 2.584540043041465562e-01
7.900000000000000078e-02 1.866520818499756984e-01 2.540820466797830135e-01
7.599999999999999811e-02 7.992970033588532308e-01 2.565144508822106983e-01
7.300000000000000933e-02 3.432051304413027415e-01 2.024298895300994938e-01
7.000000000000000666e-02 1.264567467660678846e-01 2.234595635228101562e-01
6.700000000000000400e-02 2.687491185979888342e-01 2.306725701687565577e-01
6.400000000000000133e-02 5.615099491119422970e-01 1.770507054094562216e-01
6.099999999999999867e-02 9.338745758265173946e-02 2.244897206543914336e-01
5.799999999999999600e-02 9.480057032942454387e-02 2.069888988089000625e-01
5.500000000000000028e-02 1.799650403302133495e-01 2.074483269921195139e-01
5.199999999999999761e-02 8.704783847242557326e-02 1.984279710417623799e-01
4.899999999999999495e-02 7.787806159346231938e-02 1.917427092296219437e-01
4.599999999999999922e-02 2.146958418431058613e-01 1.696886867396062426e-01
4.299999999999999656e-02 6.786588919224798011e-02 1.611640111636405970e-01
3.999999999999999389e-02 1.132563258519028726e-01 1.510300418948457013e-01
3.699999999999999123e-02 3.181056733154955518e-01 1.327491821260977645e-01
3.399999999999998856e-02 4.746036317759436129e-02 1.169368913999725146e-01
3.099999999999999978e-02 6.196190028345369138e-02 9.650259443144637572e-02
2.799999999999999711e-02 6.046184174430214303e-02 7.766165494075800979e-02
2.499999999999999445e-02 1.463882256629460421e-01 6.122462864395526727e-02
2.199999999999999178e-02 2.667030988518379747e-02 4.863081374252958139e-02
1.899999999999998912e-02 2.530005503932872268e-02 3.412457316139449331e-02
1.599999999999998646e-02 1.919006274425747588e-02 2.262181397279962661e-02
1.299999999999999767e-02 2.024468420528379928e-02 1.539777893701351277e-02
1.000000000000000021e-02 1.532608724433393889e-02 1.014415206346164396e-02
9.708333333333332704e-03 2.530685231498755114e-02 9.702097636403396799e-03
9.416666666666666935e-03 9.640059844934675479e-03 9.366120457378453168e-03
9.124999999999999431e-03 1.096421867320426617e-02 8.943754874071606700e-03
8.833333333333333662e-03 4.738139906782085770e-02 8.648283915433107455e-03
8.541666666666666158e-03 9.089445939302045682e-03 8.234165863741038649e-03
8.250000000000000389e-03 2.609162564791865299e-02 7.891045713285669422e-03
7.958333333333332885e-03 8.217253715211049123e-03 7.496390995142592807e-03
7.666666666666667115e-03 7.369873870744702779e-03 7.305531427730576309e-03
7.374999999999999611e-03 8.917271421487583602e-03 6.867737491395905364e-03
7.083333333333333842e-03 3.518681553500164344e-02 6.620062935666267898e-03
6.791666666666666338e-03 9.351344354196573783e-02 6.308401831768437051e-03
6.499999999999999702e-03 8.608673936276156277e-03 5.990570034223451079e-03
6.208333333333333065e-03 5.717442562808415854e-03 5.712227303058575040e-03
5.916666666666666428e-03 5.735226603202130992e-03 5.405429476021350599e-03
5.624999999999999792e-03 1.048060354693375676e-02 5.109896586809399739e-03
5.333333333333333155e-03 5.717187184317154731e-03 4.837118758911239901e-03
5.041666666666666519e-03 4.679903317674743296e-03 4.572630363225851577e-03
4.749999999999999882e-03 4.447027971062264551e-03 4.280141163523831956e-03
4.458333333333333245e-03 4.093935609286745991e-03 4.030038443418026799e-03
4.166666666666666609e-03 3.843775835529605802e-03 3.752577331340540938e-03
3.874999999999999972e-03 3.511165280076929650e-03 3.484367375921089763e-03
3.583333333333333336e-03 4.478680614788125430e-03 3.217146115979576792e-03
3.291666666666666699e-03 3.668877525608947934e-03 2.951014589328899550e-03
3.000000000000000062e-03 5.872916459852354706e-03 2.688717300080000969e-03
