h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 4.625905391848772474e+00 5.443723965020041966e-01 8.042540102892289378e-01 9.649583062778254172e-01
7.000000000000000666e-01 8.479481960803269658e+00 3.780503600872288095e-01 8.053671009175081830e-01 9.738160521112529944e-01
5.999999999999999778e-01 3.906719093460972125e+00 2.360197845098730429e-01 5.786495422738676675e-01 9.913366552121514186e-01
5.000000000000000000e-01 3.089943489987631686e+00 2.040156198941314725e-01 5.040625608119755352e-01 8.840872531814945035e-01
3.999999999999999667e-01 5.267563427878725335e-01 3.453625563518321340e-02 3.349341399572996480e-01 5.574448891129442085e-01
2.999999999999999334e-01 1.669357697102696436e+00 1.512871171680370101e-02 2.857706022981114022e-02 4.951249906680770668e-02
2.000000000000000111e-01 1.717502777066813313e-01 5.206484758570293324e-03 6.348943817782040991e-03 8.463955823267352296e-03
1.833333333333333481e-01 1.382098632931564319e+00 5.955820646688115075e-03 4.741123089449256027e-03 5.976675448971825733e-03
1.666666666666666852e-01 2.911320336250927676e-01 3.866013758756256784e-03 3.994803567516780861e-03 4.002050291593595675e-03
1.500000000000000222e-01 3.268738943932517765e-02 2.297859926477417974e-03 2.363222530153476133e-03 2.775454098386343025e-03
1.333333333333333592e-01 1.381729889366939586e-02 1.492331855055479065e-03 1.511687093941229201e-03 1.082866880973076861e-03
1.166666666666666824e-01 3.617424755879463105e-01 1.041640937652574218e-03 1.013128064714167043e-03 1.227406934394262598e-03
1.000000000000000056e-01 7.203053658475242274e-03 6.608981714916418917e-04 6.622160803795276631e-04 8.171881747696674303e-04
9.687500000000000278e-02 8.732014369928700268e-03 5.784306937829146933e-04 5.799624043776029645e-04 7.092983512861794236e-04
9.375000000000000000e-02 2.268723697364243355e-02 5.511491322017775382e-04 5.523826233544045774e-04 6.335286784570724880e-04
9.062500000000001110e-02 5.005875594318509592e-01 5.409563099827356496e-04 4.971164613074173164e-04 5.341142369017920499e-04
8.750000000000000833e-02 3.335634018883523299e-03 4.277087967758117296e-04 4.283903492566773540e-04 3.881520470596386361e-04
8.437500000000000555e-02 3.195724498183160137e-03 3.811957098280463561e-04 3.817595004212585917e-04 4.347734516551831491e-04
8.125000000000000278e-02 3.731689912426497044e-03 3.493813307797785758e-04 3.498801267782439945e-04 3.566963142952562582e-04
7.812500000000000000e-02 5.632357485997603434e-03 3.177652565795270655e-04 3.181463039715377731e-04 3.669907296278484632e-04
7.499999999999999722e-02 2.685558285272350229e-03 2.732397659561726648e-04 2.735686860742793857e-04 3.022592861855634004e-04
7.187499999999999445e-02 9.248295493811687631e-04 2.470802382077723000e-04 2.473673371875922651e-04 2.069921069925583130e-04
6.875000000000000555e-02 6.850929963570546880e-04 2.111224212946543298e-04 2.112809611016164203e-04 2.474802167506313412e-04
6.562499999999998890e-02 1.206216116023470101e-03 1.831009520890214241e-04 1.832314981005996740e-04 1.930217527825162343e-04
6.250000000000000000e-02 2.101091522811680042e-03 1.602971985223580038e-04 1.604173771625975054e-04 2.055882596470472818e-04
5.937499999999999722e-02 7.978330618899831181e-04 1.401430702274179460e-04 1.402850858259626049e-04 1.694864483662128604e-04
