h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 2.073024783999634302e+00 1.308447663493080171e+00 1.526377345338653102e+00 2.430495883837834104e+00
7.000000000000000666e-01 3.852675820033795606e+00 1.777571334442554329e+00 1.780637763435126475e+00 1.868937740035256700e+00
5.999999999999999778e-01 1.742098685566319416e+00 1.377487874343441332e+00 1.403452490299737176e+00 1.387940985676184846e+00
5.000000000000000000e-01 1.228678629825605384e+01 1.385315890546858997e+00 1.359328171649830219e+00 1.338770937062896627e+00
3.999999999999999667e-01 1.839576099243255047e+00 1.299023436386305352e+00 1.233915917360957515e+00 1.227078716182507634e+00
2.999999999999999334e-01 1.815071129494299385e+00 1.113769919096743832e+00 1.082285723132083266e+00 1.059083113814456523e+00
2.000000000000000111e-01 3.301360840799310026e+00 8.438061161651608799e-01 1.137861811007538693e+00 1.992473895169464049e+00
1.833333333333333481e-01 2.362189926204005364e+00 8.135169349515166681e-01 8.996957997659105200e-01 1.243793472173934545e+00
1.666666666666666852e-01 1.043435776927222136e+01 7.559044020192593472e-01 8.413492375402390477e-01 1.280662493939801916e+00
1.500000000000000222e-01 2.465612118476931958e+00 6.215114537757847613e-01 7.941640976163978349e-01 1.208087550877919414e+00
1.333333333333333592e-01 5.544660787572102123e+01 5.947361360886803672e-01 7.568252270657829239e-01 1.782583161650881598e+00
1.166666666666666824e-01 2.385733943231454823e+00 4.256040769854863015e-01 4.116178284764399620e-01 5.316851826338467868e-01
1.000000000000000056e-01 3.059004298151291490e+00 3.768715593446209100e-01 3.241520424294541680e-01 4.308162158394602259e-01
9.687500000000000278e-02 3.093887495645148089e+00 2.997455565927357735e-01 2.968826747750389350e-01 4.496410889253186216e-01
9.375000000000000000e-02 3.131279428530511666e+00 3.055416160805378700e-01 2.759993220301809047e-01 3.685050576396135535e-01
9.062500000000001110e-02 3.857331319715512574e+00 2.704339774634831883e-01 2.647314385209511012e-01 3.009306065207486558e-01
8.750000000000000833e-02 8.383317819810092164e-01 2.696256567282849792e-01 2.592449357020910616e-01 3.197326775491528550e-01
8.437500000000000555e-02 7.966612498418006005e+00 3.182894240464191338e-01 2.420570699682662030e-01 3.061127995409610447e-01
8.125000000000000278e-02 2.686286046219976242e+00 2.402736226969911515e-01 2.353289284423928096e-01 2.721366736764068150e-01
7.812500000000000000e-02 2.891503561846202786e+01 2.291370038727136016e-01 2.246091940044008806e-01 2.574713646530822353e-01
7.499999999999999722e-02 5.429586166158877347e+00 2.047806053019377570e-01 2.008044500429761181e-01 2.429470736180228407e-01
7.187499999999999445e-02 1.551834505104833228e+00 1.982172225452207004e-01 1.944876229713974891e-01 2.251404947782743304e-01
6.875000000000000555e-02 4.043134558803274103e+00 1.841802420761756154e-01 1.795356802277383867e-01 2.256960523793760942e-01
6.562499999999998890e-02 5.947506386781811649e+00 1.662702570882219066e-01 1.626695712271422900e-01 1.934190220834237917e-01
6.250000000000000000e-02 1.984429643234233653e+00 1.607746898778562028e-01 1.568481487841919542e-01 1.918732516224329887e-01
5.937499999999999722e-02 8.481979827615301337e-01 1.448943191736832281e-01 1.429909341840681358e-01 1.618666025978453826e-01
5.624999999999999445e-02 1.912375558398574427e+01 1.419746216160698848e-01 1.341421796449947523e-01 1.637692514733483096e-01
5.312499999999999861e-02 4.971730602450527670e+00 1.274789876322388327e-01 1.228233941417737757e-01 1.421037244737337890e-01
4.999999999999999584e-02 6.174191692375800011e-01 1.158701122714954068e-01 1.139734261440585317e-01 1.370959388186370198e-01
4.687499999999999306e-02 1.993179420516865141e+00 1.062125042513066275e-01 1.032590684048589474e-01 1.242765981104105716e-01
4.374999999999999722e-02 1.091847655953508633e+00 9.512478087997273957e-02 9.446124227712519861e-02 1.109062361657663087e-01
4.062499999999999445e-02 7.154177393454999034e-01 8.566108069220941534e-02 8.487631555701145858e-02 1.035324185110448186e-01
3.749999999999999167e-02 2.046822130181169097e+00 8.757433029549391290e-02 7.785204428742727167e-02 9.268080721023184976e-02
3.437499999999998890e-02 5.438482211490147655e-01 6.838532537368956221e-02 6.787991272233001583e-02 8.412153020172970230e-02
3.124999999999998612e-02 3.298420530909137227e+00 6.147311679477680813e-02 6.124351919595961286e-02 7.401542574563474419e-02
2.812499999999999722e-02 4.701810474712444510e+00 6.105713426829448981e-02 5.330731829843174396e-02 6.548048473132209168e-02
2.500000000000000139e-02 3.780048230382606622e-01 4.622109376039081757e-02 4.603684037455182954e-02 5.683438388264146213e-02
