h h1nat hybridstab
4.000000000000000222e-01 1.563671760876805816e-02 1.560315505469198928e-02
2.999999999999999889e-01 8.537532749078763014e-03 8.497357401831100165e-03
1.999999999999999833e-01 1.929460688365492674e-03 1.923050787098773244e-03
1.000000000000000056e-01 1.771173083713067258e-04 1.769224188827677304e-04
9.700000000000000289e-02 1.610063097986024307e-04 1.608003639040408040e-04
9.400000000000000022e-02 1.367007649043833651e-04 1.365230698639062663e-04
9.099999999999999756e-02 1.263507786764359205e-04 1.262079536715125349e-04
8.800000000000000877e-02 1.221816822459100905e-04 1.220579628840595546e-04
8.500000000000000611e-02 1.096083867461538448e-04 1.094855948056624464e-04
8.200000000000000344e-02 8.932434202948925841e-05 8.923472853364339914e-05
7.900000000000000078e-02 7.790762830065061349e-05 7.784149116493359691e-05
7.599999999999999811e-02 7.103045016134675949e-05 7.096762146032506836e-05
7.300000000000000933e-02 6.224686325407796194e-05 6.219793632840618116e-05
7.000000000000000666e-02 5.713669603641747044e-05 5.708983791103674018e-05
6.700000000000000400e-02 4.756281204369575062e-05 4.752488585645814909e-05
6.400000000000000133e-02 4.264834354847986153e-05 4.261310584247744889e-05
6.099999999999999867e-02 3.769923561863964970e-05 3.767327368317327513e-05
5.799999999999999600e-02 3.115078690898137441e-05 3.113098439472671160e-05
5.500000000000000028e-02 2.663703839970366346e-05 2.662108910913183490e-05
5.199999999999999761e-02 2.259071713842315785e-05 2.257853194276354593e-05
4.899999999999999495e-02 1.805900952346514067e-05 1.804835760129681104e-05
4.599999999999999922e-02 1.458795162433789646e-05 1.458066556608665045e-05
4.299999999999999656e-02 1.217994778039168344e-05 1.217422245789746093e-05
3.999999999999999389e-02 9.829013718128231723e-06 9.824887355259815207e-06
3.699999999999999123e-02 7.663974249940322500e-06 7.660975376298630402e-06
3.399999999999998856e-02 5.946954821810115330e-06 5.944765220402963079e-06
3.099999999999999978e-02 4.536782416951931281e-06 4.535299367089476689e-06
2.799999999999999711e-02 3.292385698518541733e-06 3.291467865656822762e-06
