h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 4.662244496889878853e+00 5.446434732326642658e-01 5.538953107297431844e-01 8.345000687985941745e-01
7.000000000000000666e-01 8.482876861587277162e+00 3.774813421387520074e-01 6.329763226802044285e-01 1.038377832122360678e+00
5.999999999999999778e-01 3.882268309770513959e+00 2.355909339693393056e-01 2.261101473721423449e+00 3.700295494895418091e+00
5.000000000000000000e-01 3.092148792385222222e+00 2.040489860471788597e-01 1.551753064835948326e+00 2.536566692561033509e+00
3.999999999999999667e-01 5.275595981398775169e-01 3.453571003212236451e-02 4.900120690824242425e-02 7.526913470893648039e-02
2.999999999999999334e-01 1.600334034676028860e+00 1.512864214685518370e-02 2.070258065261737501e-02 3.498891509243321624e-02
2.000000000000000111e-01 1.724052684530404389e-01 5.207203352215439632e-03 5.249531591457948579e-03 5.770488684244306880e-03
1.833333333333333481e-01 8.997111976752768525e-01 5.099397719541209906e-03 4.473326946011227379e-03 5.315586417216177154e-03
1.666666666666666852e-01 3.712219841579107449e-01 3.909728230571391308e-03 3.867888334322715661e-03 3.644342485006279997e-03
1.500000000000000222e-01 3.265179829994343391e-02 2.297850522947664058e-03 2.310753501304451101e-03 2.639989519178657235e-03
1.333333333333333592e-01 1.373869695848800414e-02 1.492324636507558634e-03 1.495589503528526026e-03 1.013488038221110410e-03
1.166666666666666824e-01 3.883981908172524644e-01 1.046888854225073214e-03 1.007595258039736081e-03 1.213197370852565514e-03
1.000000000000000056e-01 7.213694996498306276e-03 6.608962660450507995e-04 6.607273023177872911e-04 8.134548977119023406e-04
9.687500000000000278e-02 8.734486819106834082e-03 5.784290094759863892e-04 5.788963317859868903e-04 7.066511076026996260e-04
9.375000000000000000e-02 2.263276239783863081e-02 5.511475367454809473e-04 5.516589148130763209e-04 6.315766822775453456e-04
9.062500000000001110e-02 1.232975458159800142e-01 4.988703416199490167e-04 4.965237841764674840e-04 5.324386829098886730e-04
8.750000000000000833e-02 3.334644348038539718e-03 4.277076512766045217e-04 4.279064329708545688e-04 3.864843212777380643e-04
8.437500000000000555e-02 3.196023271123288410e-03 3.811947297722100112e-04 3.813922388905865491e-04 4.337706516172677284e-04
8.125000000000000278e-02 3.732825728018304440e-03 3.493804616640002608e-04 3.495636250677779740e-04 3.557471335505940939e-04
7.812500000000000000e-02 5.555338055338363175e-03 3.177644103556734345e-04 3.179173096815771202e-04 3.663471484518095417e-04
7.499999999999999722e-02 2.698004014834379759e-03 2.732391577615957698e-04 2.734190149740567768e-04 3.018256810607356172e-04
7.187499999999999445e-02 9.251191168074395519e-04 2.470796840643646529e-04 2.472476256823557248e-04 2.065500698744477596e-04
6.875000000000000555e-02 6.858035051685923075e-04 2.111219607122934779e-04 2.112130505320940243e-04 2.472806243514253277e-04
6.562499999999998890e-02 1.206258146205622245e-03 1.831005868465693102e-04 1.831789357198166941e-04 1.928534285627740729e-04
6.250000000000000000e-02 2.095698287881833828e-03 1.602968828628027330e-04 1.603746941772067039e-04 2.054662135023457273e-04
5.937499999999999722e-02 7.983074953310443549e-04 1.401428133258373981e-04 1.402486437390598772e-04 1.693824912176615299e-04
