h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 5.913516976160246408e+00 1.784425706161798741e+00 1.238769659446929738e+00 1.316240594869857894e+00
7.000000000000000666e-01 6.822630566102201755e+00 1.883016031532920964e+00 1.094032588183853516e+00 1.184035011430609519e+00
5.999999999999999778e-01 6.091466024717894889e+00 7.896771028015493465e-01 8.142932525160345714e-01 8.955327612718890773e-01
5.000000000000000000e-01 4.530414677294797521e+00 6.383697993418468997e-01 6.243888497726016729e-01 8.999365471958783447e-01
3.999999999999999667e-01 1.868898329487645116e+00 3.911293721470458506e-01 3.714588750613804780e-01 8.728041826385640745e-01
2.999999999999999334e-01 1.286203096548946867e+01 2.725925754646659205e-01 1.727047494818439721e-01 4.740100188414306803e-01
2.000000000000000111e-01 1.059865382138864165e+00 6.633808269380578326e-02 5.487513581269037183e-02 9.359522368524277047e-02
1.833333333333333481e-01 1.998256670604658503e+00 1.242204498058263606e-01 4.905446601547128194e-02 7.784894767289862738e-02
1.666666666666666852e-01 6.159308384062995856e-01 4.082609730235138568e-02 4.142073497049309633e-02 5.118211373328321323e-02
1.500000000000000222e-01 7.011901095002693873e-01 3.636476043848512613e-02 3.064381162318229740e-02 3.438165990805196887e-02
1.333333333333333592e-01 2.752026239812402908e-01 2.291729346810761000e-02 2.269283063012983784e-02 2.047389592914389961e-02
1.166666666666666824e-01 1.347685257154596972e+00 3.449975075432915039e-02 1.734180327284223777e-02 1.702963323073454147e-02
1.000000000000000056e-01 2.270168397452083098e-01 1.301010842573707520e-02 1.298382785633707751e-02 1.370894524383567056e-02
9.687500000000000278e-02 1.265331772448227976e-01 1.197347985608286994e-02 1.193565304457576068e-02 1.549577689305557150e-02
9.375000000000000000e-02 5.333789567852557090e-01 1.153705480819850783e-02 1.149182716637847483e-02 1.002943699998892421e-02
9.062500000000001110e-02 1.096923286107221174e-01 1.072918745105000925e-02 1.071909508025625443e-02 1.079466177367150934e-02
8.750000000000000833e-02 1.151639045574175679e-01 9.745289258571099289e-03 9.738671574978560383e-03 9.458236955705232041e-03
8.437500000000000555e-02 8.007831509146053905e-01 1.027465664490434180e-02 8.989507755151653762e-03 9.379916011224580588e-03
8.125000000000000278e-02 7.208444699497398855e-02 8.475936991078561120e-03 8.476529662071585064e-03 7.751368098114274317e-03
7.812500000000000000e-02 2.514529201046573556e-02 7.927279305533165357e-03 7.933080783183815016e-03 8.024889580468801825e-03
7.499999999999999722e-02 1.770199059594287083e-01 7.182507209464635174e-03 7.175673245068564000e-03 7.717670769437423757e-03
7.187499999999999445e-02 2.805588602445747634e-02 6.682897726316614634e-03 6.684954737777656572e-03 6.841093245138137567e-03
6.875000000000000555e-02 1.752702930402851578e-01 6.002696170386697012e-03 6.002441923185461090e-03 5.881235082083303110e-03
6.562499999999998890e-02 1.778133505038337683e-02 5.413274058135094866e-03 5.414126463489772612e-03 6.012757495564495340e-03
6.250000000000000000e-02 3.823937972188735934e-02 4.942787791856386587e-03 4.943625678061312929e-03 5.419858649454627718e-03
5.937499999999999722e-02 2.834154858594133478e-02 4.474752980619100921e-03 4.475416134144340023e-03 4.722034754684100756e-03
5.624999999999999445e-02 2.811012222538030597e-02 4.065105244466076136e-03 4.065459989062248335e-03 4.265208932262898323e-03
5.312499999999999861e-02 9.265508030804117112e-01 3.612462948429313696e-03 3.612742521784220815e-03 3.374528259077044876e-03
4.999999999999999584e-02 3.410356013351143467e-01 3.210326982895403414e-03 3.210189410275060898e-03 2.974137517097194018e-03
4.687499999999999306e-02 1.748077200658282315e-02 2.829510772910627785e-03 2.829540627399364412e-03 2.841175451274355595e-03
4.374999999999999722e-02 3.714435768118042741e-02 2.435650740080844839e-03 2.435655180375122068e-03 2.286348984190723389e-03
4.062499999999999445e-02 5.102703454809841277e-02 2.082260042177830946e-03 2.082213620693419698e-03 2.025253236695245731e-03
