h h1nat hybridstab
2.999999999999999889e-01 5.029258185638623563e-02 6.034184859981030907e-02
1.999999999999999833e-01 1.793050510461618660e-02 2.035996633430648198e-02
1.000000000000000056e-01 3.925273255140048802e-03 4.191179964598642019e-03
9.700000000000000289e-02 3.818702249943433779e-03 4.101677333889585005e-03
9.400000000000000022e-02 3.454631391133483782e-03 3.772358729797098149e-03
9.099999999999999756e-02 3.251389500273019553e-03 3.461255103998385745e-03
8.800000000000000877e-02 3.051583758982187068e-03 3.237775025659956393e-03
8.500000000000000611e-02 2.859434877724746291e-03 3.063146724215263812e-03
8.200000000000000344e-02 2.622627380175074352e-03 2.789390403528085611e-03
7.900000000000000078e-02 2.329352796059116007e-03 2.467826382700755855e-03
7.599999999999999811e-02 2.192589614737349996e-03 2.309545598393164968e-03
7.300000000000000933e-02 2.050561835828734573e-03 2.182594679607290956e-03
7.000000000000000666e-02 1.948977160057522749e-03 2.057590923779486700e-03
6.700000000000000400e-02 1.687334835947365552e-03 1.764601243747547944e-03
6.400000000000000133e-02 1.559315943680820472e-03 1.650952023744336594e-03
6.099999999999999867e-02 1.436236702781208685e-03 1.498952164549491881e-03
5.799999999999999600e-02 1.321490672524747948e-03 1.388768396016191054e-03
5.500000000000000028e-02 1.173279132767459298e-03 1.217966115126515756e-03
5.199999999999999761e-02 1.040290794041872323e-03 1.079011195145760825e-03
4.899999999999999495e-02 9.128100894320563888e-04 9.421919498550073574e-04
4.599999999999999922e-02 7.827511957479785232e-04 8.071456607445853457e-04
4.299999999999999656e-02 6.979384029565715913e-04 7.183057854564492591e-04
3.999999999999999389e-02 6.016892493448823933e-04 6.200185335891717203e-04
3.699999999999999123e-02 5.102905972810906294e-04 5.239849803418442867e-04
3.399999999999998856e-02 4.395278623248724190e-04 4.505813283575901156e-04
3.099999999999999978e-02 3.639327926788588291e-04 3.721478061178529434e-04
2.799999999999999711e-02 2.901582934027140126e-04 2.957318444402627557e-04
2.499999999999999445e-02 2.348572496724183917e-04 2.397569512027964464e-04
2.199999999999999178e-02 1.807442060672979532e-04 1.836202898429691857e-04
1.899999999999998912e-02 1.345386623939669255e-04 1.366954179253727670e-04
1.599999999999998646e-02 9.424435775971596381e-05 9.533211226401476328e-05
