h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 2.036364499429938579e+00 1.303355262841529694e+00 1.382269117093078981e+00 2.044515794656085017e+00
7.000000000000000666e-01 2.956705234381262315e+00 1.617957202076778289e+00 1.559307218612637325e+00 1.660789006539896695e+00
5.999999999999999778e-01 3.373258727840126703e+00 1.448163704528254936e+00 1.487312789881279906e+00 1.430378547889347818e+00
5.000000000000000000e-01 7.711505540812083836e+00 1.534698769298452836e+00 1.533256116201251462e+00 1.475263011298050264e+00
3.999999999999999667e-01 2.134072536084794081e+00 1.319139267354884293e+00 1.313616426449412788e+00 1.366620126589376039e+00
2.999999999999999334e-01 1.758061142565423784e+00 1.199322582298791851e+00 1.165112331757960140e+00 1.200409364620941055e+00
2.000000000000000111e-01 6.246225083835179603e+00 8.984209762220219941e-01 1.592408958216252612e+00 3.035824210200041229e+00
1.833333333333333481e-01 1.999569562526771316e+00 8.553142037513672413e-01 1.005809222215464427e+00 1.497698834727623218e+00
1.666666666666666852e-01 3.875963358269506553e+00 7.749474298291939567e-01 9.367224624552465961e-01 1.575298542015233672e+00
1.500000000000000222e-01 6.959303815116308023e+00 6.360730477096380175e-01 8.423679052577234261e-01 1.425354450473684809e+00
1.333333333333333592e-01 2.275852248248703358e+00 4.947824881949489662e-01 5.198008948178632904e-01 8.351177716364498460e-01
1.166666666666666824e-01 2.710232386646709291e+00 4.432859274391390270e-01 4.209795687298409916e-01 5.216097944442085188e-01
1.000000000000000056e-01 9.022284324295833713e+00 3.741759067104379888e-01 3.319797552255664419e-01 4.258744094737705876e-01
9.687500000000000278e-02 2.461754277233829225e+00 3.343007249938000358e-01 2.977998337148445307e-01 4.377300636290073488e-01
9.375000000000000000e-02 6.416434788918190968e+00 3.319476589002801625e-01 2.776068301024822160e-01 3.485209150365268238e-01
9.062500000000001110e-02 8.385716522004784679e-01 2.803328355431639052e-01 2.732104123952910357e-01 3.089261275998100298e-01
8.750000000000000833e-02 1.797322810928825065e+00 2.928529502373213300e-01 2.655246515397090001e-01 3.302879740783912221e-01
8.437500000000000555e-02 2.582922472538541570e+00 2.558887649368336570e-01 2.471474831208296530e-01 3.155251047729954461e-01
8.125000000000000278e-02 6.598667916823382384e+00 2.928493141530761901e-01 2.418612854037041071e-01 2.815925409909495469e-01
7.812500000000000000e-02 1.134691986957356846e+00 2.388170656952350868e-01 2.305322251219040497e-01 2.656441190114063322e-01
7.499999999999999722e-02 1.532782921430122514e+00 2.178135770814531025e-01 2.048014284026612175e-01 2.479231164354157857e-01
7.187499999999999445e-02 2.570017243495626769e+00 2.111113277335507632e-01 1.996156049136616484e-01 2.340710043883400815e-01
6.875000000000000555e-02 7.531582900506250677e-01 1.907557087201290080e-01 1.840912964935272345e-01 2.303385450315275640e-01
6.562499999999998890e-02 2.041417223017953475e+00 1.717912638701841743e-01 1.652451846381889355e-01 1.966494603095681193e-01
6.250000000000000000e-02 9.137222821713419929e-01 1.654302689690416162e-01 1.607090595242967601e-01 1.946834503065416611e-01
5.937499999999999722e-02 4.745306058144665995e-01 1.511670273608959336e-01 1.448531849972466146e-01 1.638724403892266868e-01
5.624999999999999445e-02 1.317883202403949294e+00 1.399540600074380692e-01 1.353799170672727870e-01 1.635582506047125184e-01
5.312499999999999861e-02 1.108209258392702345e+00 1.258361755672172677e-01 1.215278395124009397e-01 1.401952957000695832e-01
4.999999999999999584e-02 5.896717714242819541e-01 1.197728965333775542e-01 1.119409474507574165e-01 1.320153944836152671e-01
4.687499999999999306e-02 1.139123500835427460e+00 1.064244549700229248e-01 1.024101761253843751e-01 1.213713314999579768e-01
4.374999999999999722e-02 6.788939101058931724e-01 9.706163997980783720e-02 9.268306814178361996e-02 1.078939209567679608e-01
4.062499999999999445e-02 7.392050610929830068e-01 8.745882404364738183e-02 8.398499511395871031e-02 1.015091510013701875e-01
3.749999999999999167e-02 1.460180608617399844e+00 7.861871930658001495e-02 7.552016517125072215e-02 8.970302198367811897e-02
3.437499999999998890e-02 2.617440078303661100e+00 7.239826054088657759e-02 6.564791069027514636e-02 8.176081841165462605e-02
3.124999999999998612e-02 6.798823592492144741e-01 6.175793389751994128e-02 5.954488668776337923e-02 7.168613859133148025e-02
2.812499999999999722e-02 2.039900893833490880e-01 5.421259104920297944e-02 5.183855752353135060e-02 6.342294550930230312e-02
2.500000000000000139e-02 6.664733804953997698e+00 4.682943938559862990e-02 4.502247076089074124e-02 5.540043368676085545e-02
