h Galerkin-inner Galerkin-outer Hybridstab-outer Hybridstab-inner
8.000000000000000444e-01 2.038186699057761508e+00 1.286398097584386724e+00 1.411207616850298940e+00 1.944790397460185671e+00
7.000000000000000666e-01 3.688553119808454017e+00 1.521562426483463737e+00 1.549829118550050566e+00 1.594203975900942982e+00
5.999999999999999778e-01 1.745708675953433264e+00 1.427424388736048044e+00 1.444832287050193953e+00 1.373640512048125872e+00
5.000000000000000000e-01 1.190804957745161197e+01 1.415800125919001839e+00 1.382369450472227479e+00 1.281147510685290758e+00
3.999999999999999667e-01 1.734526673563482113e+00 1.278138590290002208e+00 1.236440678502753743e+00 1.195292362751267712e+00
2.999999999999999334e-01 1.817520104954620130e+00 1.092714572521558125e+00 1.099409490690501645e+00 1.074247459870372845e+00
2.000000000000000111e-01 3.042434601424977458e+00 8.165605578621971672e-01 1.064307709928057122e+00 1.804615637334819889e+00
1.833333333333333481e-01 2.183352099030871241e+00 7.792692281004791610e-01 8.731209385646642174e-01 1.194526596794770246e+00
1.666666666666666852e-01 8.800426997717041289e+00 7.212888170639115692e-01 7.976727218383883322e-01 1.186082292201032562e+00
1.500000000000000222e-01 2.289260507842547199e+00 5.984023113353983403e-01 7.646115841878684538e-01 1.164179505709429963e+00
1.333333333333333592e-01 5.230845581647013631e+01 5.770611074599300006e-01 7.513512327586042705e-01 1.784297374177358231e+00
1.166666666666666824e-01 2.319583235888941886e+00 4.117195655569437229e-01 3.955724989581821949e-01 5.166573037710501248e-01
1.000000000000000056e-01 2.913690732862369348e+00 3.647476681355076855e-01 3.106771196360269549e-01 4.198281350181938265e-01
9.687500000000000278e-02 2.877500946797857395e+00 2.936534342989997048e-01 2.868264816744025003e-01 4.438504779558566926e-01
9.375000000000000000e-02 2.994151874993078444e+00 2.993065270679328149e-01 2.663568381354755044e-01 3.642149593220928572e-01
9.062500000000001110e-02 3.704783079177123462e+00 2.656444287015183314e-01 2.521925071306848620e-01 2.885975862466902409e-01
8.750000000000000833e-02 8.605645095639952169e-01 2.657702228642312980e-01 2.466163215190711466e-01 3.090007132032551729e-01
8.437500000000000555e-02 7.726669010150646777e+00 3.140604645822749896e-01 2.309002995050954687e-01 2.983655539936963530e-01
8.125000000000000278e-02 2.529284155971569081e+00 2.380242756145514726e-01 2.239866190443030869e-01 2.623090728072687838e-01
7.812500000000000000e-02 2.489590148383862456e+01 2.270376106132733496e-01 2.130189692287228209e-01 2.461855244990229230e-01
7.499999999999999722e-02 5.252255542811021805e+00 2.029057101757074100e-01 1.909435422396227600e-01 2.347911148382743063e-01
7.187499999999999445e-02 1.511376913879583839e+00 1.964210256246440300e-01 1.847223318902555533e-01 2.158831468243434248e-01
6.875000000000000555e-02 3.768487613408766812e+00 1.833681483650262400e-01 1.706559278295990967e-01 2.180083817459856355e-01
6.562499999999998890e-02 5.913161512025073563e+00 1.659274737901745289e-01 1.546341382815429322e-01 1.864581085817287598e-01
6.250000000000000000e-02 1.955245885350954005e+00 1.604927888871089392e-01 1.488139411706055348e-01 1.846034674429754552e-01
5.937499999999999722e-02 8.297895795748758685e-01 1.453053788527066958e-01 1.358551892452962151e-01 1.551139400012847835e-01
5.624999999999999445e-02 1.880265187495384183e+01 1.422106426872024043e-01 1.274513390288695980e-01 1.576950927589731988e-01
5.312499999999999861e-02 4.870292895157046331e+00 1.285706274091906742e-01 1.167453277322184069e-01 1.363850405978244140e-01
4.999999999999999584e-02 6.006532100205306257e-01 1.169824167364613698e-01 1.082354309995148256e-01 1.313064264239986179e-01
4.687499999999999306e-02 1.969325346843765256e+00 1.073180814088694202e-01 9.844508237495459835e-02 1.198334735257573364e-01
4.374999999999999722e-02 1.069464381205236680e+00 9.722202753926108276e-02 9.014823428339936717e-02 1.067325450419911032e-01
4.062499999999999445e-02 7.038173793214904661e-01 8.786270158947977194e-02 8.118942044278970593e-02 9.996291890326752805e-02
3.749999999999999167e-02 2.021095771641574501e+00 8.942216122468761574e-02 7.464110442749730123e-02 8.936239429533014700e-02
3.437499999999998890e-02 5.365758934311410933e-01 7.100404523652051325e-02 6.540588430343992343e-02 8.162666122845896322e-02
3.124999999999998612e-02 3.239564564393760726e+00 6.393261060369175020e-02 5.916316266964818937e-02 7.177227113073109122e-02
2.812499999999999722e-02 4.652057951757825549e+00 6.336659310663368683e-02 5.171503177383580951e-02 6.364023889412601109e-02
2.500000000000000139e-02 3.751781129875713106e-01 4.884698410247291511e-02 4.499436401777644895e-02 5.569445631643100969e-02
