fh H1 IF ref
8.947311141604798179e-02 7.623110710579328667e-04 1.184744504137266903e-02 7.623110710579327582e-04
8.367229543460581731e-02 1.197527266374142892e-03 1.593341698261429781e-02 7.128881084064964081e-04
7.777737042430724057e-02 1.069214387520501987e-03 1.471950533929013843e-02 6.626633366590270122e-04
7.174753033544753467e-02 1.187714427296997352e-03 1.540445140522755246e-02 6.112890881982514313e-04
6.552415897207811146e-02 1.231424110139919814e-03 1.552577021210711783e-02 5.582659529286927236e-04
5.901752731112681200e-02 1.206729949107246706e-03 1.495570813741979761e-02 5.028294394115200754e-04
5.207748159560242340e-02 1.177621514910036273e-03 1.441054431494733813e-02 4.437002373656469376e-04
