h h1nat hybridstab
2.500000000000000000e-01 2.697905429587380000e-01 3.248525650383308205e-01
1.666666666666666574e-01 1.813522249307361334e-01 2.485194203827300330e-01
1.250000000000000000e-01 1.364075993488770011e-01 2.109388843175698247e-01
1.000000000000000056e-01 1.092713835927732746e-01 1.876521927245236032e-01
8.333333333333332871e-02 9.112492771645704093e-02 1.704001673027541741e-01
7.142857142857142461e-02 7.814069432081130473e-02 1.558084975685931073e-01
6.250000000000000000e-02 6.839206825228477671e-02 1.424257035719168063e-01
5.555555555555555247e-02 6.080442279077333950e-02 1.296960315872696112e-01
5.000000000000000278e-02 5.473131260951089733e-02 1.175056563853587727e-01
4.545454545454545581e-02 4.976063362986152261e-02 1.059394089366815367e-01
4.166666666666666435e-02 4.561730092962019284e-02 9.513981651895134228e-02
3.846153846153846367e-02 4.211069196694176842e-02 8.523057232141406647e-02
3.571428571428571230e-02 3.910455025650019789e-02 7.628397797816785508e-02
3.333333333333333287e-02 3.649889861717873357e-02 6.831604193753118559e-02
3.125000000000000000e-02 3.421872093460286146e-02 6.129590270696847615e-02
2.941176470588235253e-02 3.220663142314381805e-02 5.516019633836843211e-02
2.777777777777777624e-02 3.041798362270983769e-02 4.982696704901602019e-02
2.631578947368420907e-02 2.881752177150011252e-02 4.520674537764053647e-02
2.500000000000000139e-02 2.737703552308397292e-02 4.121029834159282285e-02
2.000000000000000042e-02 2.190264387269434676e-02 2.792244246537341906e-02
1.666666666666666644e-02 1.825264297368251951e-02 2.102746478777782826e-02
1.428571428571428527e-02 1.564533954533297092e-02 1.702022862052659027e-02
1.250000000000000069e-02 1.368978950705959999e-02 1.442046028781354856e-02
1.111111111111111154e-02 1.216876978272895919e-02 1.258199943814540187e-02
1.000000000000000021e-02 1.095193429639500053e-02 1.119847775572442930e-02
9.090909090909090468e-03 9.956330278795107874e-03 1.011028558398629693e-02
8.333333333333333218e-03 9.126653405671836597e-03 9.226604441439245630e-03
7.692307692307692735e-03 8.424614816419675328e-03 8.491705921961438183e-03
7.142857142857142634e-03 7.822864648485200120e-03 7.869215763055523866e-03
6.666666666666667095e-03 7.301345961051011225e-03 7.334181053304179160e-03
6.250000000000000347e-03 6.845015826409747359e-03 6.868793394416193923e-03
5.882352941176470507e-03 6.442370690533080584e-03 6.459926316331320029e-03
5.555555555555555768e-03 6.084463267055707433e-03 6.097650494985458469e-03
5.263157894736841987e-03 5.764229846457961937e-03 5.774289196776583033e-03
