h h1nat hybridstab
2.999999999999999889e-01 6.127477461028830313e-02 6.102021956292211918e-02
1.999999999999999833e-01 2.853309762559323726e-02 2.845099222506621700e-02
1.000000000000000056e-01 5.697587062394188391e-03 5.684119506666493113e-03
9.700000000000000289e-02 5.593702292542427658e-03 5.581658493582165349e-03
9.400000000000000022e-02 4.914774777529303321e-03 4.905027606966114694e-03
9.099999999999999756e-02 4.777512484143237037e-03 4.766620432743681225e-03
8.800000000000000877e-02 4.473081431414808670e-03 4.464328523533049424e-03
8.500000000000000611e-02 4.189588054338978795e-03 4.180646119873621981e-03
8.200000000000000344e-02 3.820595602447850701e-03 3.813642342730635439e-03
7.900000000000000078e-02 3.420756915908481494e-03 3.414168955390485885e-03
7.599999999999999811e-02 3.238775153455309384e-03 3.232912435550110847e-03
7.300000000000000933e-02 2.960448588094448212e-03 2.955058646121171747e-03
7.000000000000000666e-02 2.844726260064656120e-03 2.839917339431861920e-03
6.700000000000000400e-02 2.522346332927555713e-03 2.518079950313312741e-03
6.400000000000000133e-02 2.295013938942713771e-03 2.291468185624382248e-03
6.099999999999999867e-02 2.113473184177574061e-03 2.110262583206276576e-03
5.799999999999999600e-02 1.910962253077676427e-03 1.908308374554247696e-03
5.500000000000000028e-02 1.701156482510133303e-03 1.698793555775641529e-03
5.199999999999999761e-02 1.516910403890170010e-03 1.514938396527449292e-03
4.899999999999999495e-02 1.344596525811094304e-03 1.342879797003643802e-03
4.599999999999999922e-02 1.151427555364398355e-03 1.150007104519163272e-03
4.299999999999999656e-02 1.030745824375399987e-03 1.029585010260150981e-03
3.999999999999999389e-02 8.855298873457994029e-04 8.845898648831168089e-04
3.699999999999999123e-02 7.554983922822581729e-04 7.547519323501200800e-04
3.399999999999998856e-02 6.450226702969383752e-04 6.444363535171848938e-04
3.099999999999999978e-02 5.347719619194310102e-04 5.343267492987217090e-04
2.799999999999999711e-02 4.271252821703031693e-04 4.267959307671776283e-04
2.499999999999999445e-02 3.444968313854332247e-04 3.442608672114787758e-04
2.199999999999999178e-02 2.679220601558815517e-04 2.677590888944403748e-04
1.899999999999998912e-02 1.965322487841830008e-04 1.964272030825138537e-04
1.599999999999998646e-02 1.391039707520453576e-04 1.390412910219331272e-04
