fh H1 IF ref
8.947311141604798179e-02 1.798197160247171078e-03 2.279708677116875845e-02 1.798197160247171078e-03
8.367229543460581731e-02 1.763217017276869688e-03 2.175983374237742268e-02 1.681614528215501399e-03
7.777737042430724057e-02 1.341874227681729434e-03 1.849192359824974180e-02 1.563140528087149502e-03
7.174753033544753467e-02 1.372613163573169724e-03 1.812418492077989829e-02 1.441955055122952399e-03
6.552415897207811146e-02 1.290729349086793551e-03 1.718598162485562506e-02 1.316880062919571119e-03
5.901752731112681200e-02 9.751899818575427564e-04 1.447476888373264332e-02 1.186112211099919246e-03
5.207748159560242340e-02 7.807840101431330485e-04 1.247520607798788608e-02 1.046633765563228635e-03
