h h1nat hybridstab
4.000000000000000222e-01 7.740726478267284140e-03 1.256550873573758324e-02
2.999999999999999889e-01 4.168604790787509493e-03 7.080382205444085870e-03
1.999999999999999833e-01 1.048616627188078644e-03 1.724671704879668626e-03
1.000000000000000056e-01 9.837863180906441596e-05 1.639433748993580030e-04
9.700000000000000289e-02 9.569477045018308533e-05 1.624447207595054428e-04
9.400000000000000022e-02 8.025832920046227623e-05 1.353897873530443357e-04
9.099999999999999756e-02 7.350650340231795613e-05 1.260651330046396845e-04
8.800000000000000877e-02 7.074088394834708571e-05 1.300089751932561775e-04
8.500000000000000611e-02 6.027205211103322971e-05 1.036961293222613461e-04
8.200000000000000344e-02 5.303241780578378154e-05 9.083535887867189062e-05
7.900000000000000078e-02 4.471542425298181365e-05 7.567836779794648002e-05
7.599999999999999811e-02 4.151341672205975306e-05 7.206619024107434248e-05
7.300000000000000933e-02 3.546571079809524160e-05 6.233638441969459787e-05
7.000000000000000666e-02 3.366154861223125447e-05 5.840328507579640717e-05
6.700000000000000400e-02 2.764949833880437450e-05 4.725030217308114988e-05
6.400000000000000133e-02 2.430122612403939450e-05 4.122213897877611188e-05
6.099999999999999867e-02 2.166522422179741311e-05 3.631507631244228023e-05
5.799999999999999600e-02 1.885611266082089896e-05 3.240691666321839526e-05
5.500000000000000028e-02 1.569376525651098507e-05 2.667390251253177016e-05
5.199999999999999761e-02 1.322314620879002973e-05 2.229134159461693924e-05
4.899999999999999495e-02 1.092738438129803677e-05 1.846060893453934434e-05
4.599999999999999922e-02 8.556370693792668923e-06 1.415727250012566808e-05
4.299999999999999656e-02 7.180447027216871266e-06 1.173624425994924452e-05
3.999999999999999389e-02 5.782577356437657623e-06 9.738496966436870184e-06
3.699999999999999123e-02 4.488701478263256537e-06 7.450468947510870322e-06
3.399999999999998856e-02 3.569605663096967052e-06 5.808009762714706670e-06
3.099999999999999978e-02 2.694145155092687184e-06 4.412421444624556102e-06
2.799999999999999711e-02 1.912659799980310075e-06 3.103022335602412798e-06
